variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Sleep disturb partner,1,2,Mild,Moderate,9554,4840,22975514.0,-0.0062786215630336135,-0.0062786215630336135,-0.02552954541129413,0.010551274875998455,"[-0.02552954541129413, 0.010551274875998455]",0.47981366065251063,0.7458502591090628
Sleep disturb partner,2,3,Moderate,Severe,4840,3889,9502182.0,0.009648106866368163,0.009648106866368163,-0.009016885674576949,0.02864830662453326,"[-0.009016885674576949, 0.02864830662453326]",0.3729251295545314,0.7458502591090628
Sleep walk,0,1,Normal,Mild,10462,9554,50357678.5,0.007617598056256868,0.007617598056256868,0.0014802852009407372,0.014737479153899953,"[0.0014802852009407372, 0.014737479153899953]",0.02591162620396222,0.07773487861188666
Sleep walk,1,2,Mild,Moderate,9554,4840,23207588.5,0.0037589076099837893,0.0037589076099837893,-0.003439417655536083,0.012124081125641631,"[-0.003439417655536083, 0.012124081125641631]",0.35850811211980504,0.7170162242396101
Sleep walk,2,3,Moderate,Severe,4840,3889,9435373.0,0.0025493604551086024,0.0025493604551086024,-0.007341155069713475,0.01157676530965702,"[-0.007341155069713475, 0.01157676530965702]",0.598635550127264,0.7170162242396101
Sleep provide assistance,0,1,Normal,Mild,10462,9554,49805667.5,-0.0034277085283314673,-0.0034277085283314673,-0.012824402143675206,0.006307174830152781,"[-0.012824402143675206, 0.006307174830152781]",0.5247994028651317,0.5247994028651317
Sleep provide assistance,1,2,Mild,Moderate,9554,4840,23317648.0,0.008519126600082697,0.008519126600082697,-0.007304902472591636,0.023651410231013952,"[-0.007304902472591636, 0.023651410231013952]",0.20394210002552693,0.40788420005105386
Sleep provide assistance,2,3,Moderate,Severe,4840,3889,9564321.0,0.016250645495134615,0.016250645495134615,0.0006420431966406626,0.030665610409950493,"[0.0006420431966406626, 0.030665610409950493]",0.04089491666089175,0.12268474998267524
Sleep talk,0,1,Normal,Mild,10462,9554,50034496.0,0.0011509700447249968,0.0011509700447249968,-0.010307991786377462,0.01463033080994459,"[-0.010307991786377462, 0.01463033080994459]",0.8526297944411291,0.8526297944411291
Sleep talk,1,2,Mild,Moderate,9554,4840,23714062.0,0.025664556578785747,0.025664556578785747,0.012484915019800456,0.040304994814166356,"[0.012484915019800456, 0.040304994814166356]",0.0007726330809329887,0.0023178992427989663
Sleep talk,2,3,Moderate,Severe,4840,3889,9259096.5,-0.016180783264515938,-0.016180783264515938,-0.031455286047317184,0.0021491880043096583,"[-0.031455286047317184, 0.0021491880043096583]",0.07744476832135895,0.1548895366427179
Sleep nasal congestion,0,1,Normal,Mild,10462,9554,47721067.0,-0.0451389273788365,-0.0451389273788365,-0.060973271911180536,-0.03263131262208873,"[-0.060973271911180536, -0.03263131262208873]",8.611978956314538e-10,2.5835936868943614e-09
Sleep nasal congestion,1,2,Mild,Moderate,9554,4840,22849037.5,-0.011748897523775252,-0.011748897523775252,-0.026221430879195595,0.0057854678149604375,"[-0.026221430879195595, 0.0057854678149604375]",0.20638159207057383,0.41276318414114765
Sleep nasal congestion,2,3,Moderate,Severe,4840,3889,9352683.5,-0.006236758052485396,-0.006236758052485396,-0.0341931018617886,0.015800116454760087,"[-0.0341931018617886, 0.015800116454760087]",0.5842457319148644,0.5842457319148644
Grind teeth,0,1,Normal,Mild,10462,9554,50244612.5,0.005355236193371772,0.005355236193371772,-0.00719775971230271,0.018699473231412522,"[-0.00719775971230271, 0.018699473231412522]",0.39392037992262974,0.7878407598452595
Grind teeth,1,2,Mild,Moderate,9554,4840,23506960.0,0.016707121070833556,0.016707121070833556,-0.002511542156199558,0.030672881917832857,"[-0.002511542156199558, 0.030672881917832857]",0.031163256713309405,0.09348977013992821
Grind teeth,2,3,Moderate,Severe,4840,3889,9466758.5,0.005884206141926051,0.005884206141926051,-0.0121160539155788,0.02459129532544641,"[-0.0121160539155788, 0.02459129532544641]",0.5260956570500739,0.7878407598452595
Nasal medication,0,1,Normal,Mild,10462,9554,48234422.0,-0.03486709699550837,-0.03486709699550837,-0.04996273408830234,-0.02401142949351036,"[-0.04996273408830234, -0.02401142949351036]",7.512801166396512e-08,2.2538403499189535e-07
Nasal medication,1,2,Mild,Moderate,9554,4840,22983929.0,-0.005914661679500776,-0.005914661679500776,-0.021086734905720765,0.011576559383201526,"[-0.021086734905720765, 0.011576559383201526]",0.47451518462579223,0.8916409034252417
Nasal medication,2,3,Moderate,Severe,4840,3889,9483807.5,0.007695736438226912,0.007695736438226912,-0.011968777426902324,0.029416096523570398,"[-0.011968777426902324, 0.029416096523570398]",0.44582045171262086,0.8916409034252417
Leg jerk,0,1,Normal,Mild,10462,9554,48790073.5,-0.023748946865010275,-0.023748946865010275,-0.03331322515644905,-0.010619221363822475,"[-0.03331322515644905, -0.010619221363822475]",0.0004357400979530671,0.0013072202938592013
Leg jerk,1,2,Mild,Moderate,9554,4840,23417049.0,0.012818351363368206,0.012818351363368206,-0.004360774099204694,0.02946871750744353,"[-0.004360774099204694, 0.02946871750744353]",0.13140452593234034,0.2628090518646807
Leg jerk,2,3,Moderate,Severe,4840,3889,9330165.5,-0.00862939335145324,-0.00862939335145324,-0.025395089508658666,0.011351251091763373,"[-0.025395089508658666, 0.011351251091763373]",0.40343482275940323,0.40343482275940323
Sleep snore,0,1,Normal,Mild,10462,9554,43678908.5,-0.12601934442849622,-0.12601934442849622,-0.13882951451802583,-0.11167186712824992,"[-0.13882951451802583, -0.11167186712824992]",2.953449233784562e-59,8.860347701353687e-59
Sleep snore,1,2,Mild,Moderate,9554,4840,22131315.5,-0.04279132361158928,-0.04279132361158928,-0.06245976924121609,-0.02152473348534733,"[-0.06245976924121609, -0.02152473348534733]",1.218677145081513e-05,2.437354290163026e-05
Sleep snore,2,3,Moderate,Severe,4840,3889,9069462.5,-0.03633021937271686,-0.03633021937271686,-0.054362829893171885,-0.010233333209369979,"[-0.054362829893171885, -0.010233333209369979]",0.0023322707812599335,0.0023322707812599335
Sleep other movements,0,1,Normal,Mild,10462,9554,49427889.0,-0.010986759622541373,-0.010986759622541373,-0.02110475741288378,-0.0028985690990414935,"[-0.02110475741288378, -0.0028985690990414935]",0.05738998243896126,0.1721699473168838
Sleep other movements,1,2,Mild,Moderate,9554,4840,23403393.5,0.012227732921350064,0.012227732921350064,-0.0003733481238441084,0.027305405269222184,"[-0.0003733481238441084, 0.027305405269222184]",0.09160018567091563,0.18320037134183126
Sleep other movements,2,3,Moderate,Severe,4840,3889,9409642.5,-0.00018461692121665474,-0.00018461692121665474,-0.014791430693479594,0.019037091266105498,"[-0.014791430693479594, 0.019037091266105498]",0.9831386133358239,0.9831386133358239
Stop breath,0,1,Normal,Mild,10462,9554,45463402.0,-0.09031303095701633,-0.09031303095701633,-0.1024277152614322,-0.0769250967955763,"[-0.1024277152614322, -0.0769250967955763]",5.927261489509823e-42,1.778178446852947e-41
Stop breath,1,2,Mild,Moderate,9554,4840,22281854.5,-0.03628031268976518,-0.03628031268976518,-0.05302819542937318,-0.02133191800587181,"[-0.05302819542937318, -0.02133191800587181]",3.223728697055843e-05,3.223728697055843e-05
Stop breath,2,3,Moderate,Severe,4840,3889,8806997.5,-0.06421826554660422,-0.06421826554660422,-0.0859522049370018,-0.04751356203872333,"[-0.0859522049370018, -0.04751356203872333]",5.123259014466803e-09,1.0246518028933606e-08
Sleep eat,0,1,Normal,Mild,10462,9554,49134401.0,-0.016859224009841012,-0.016859224009841012,-0.027008454433435688,-0.00842530752262032,"[-0.027008454433435688, -0.00842530752262032]",0.0010804294916703422,0.0032412884750110263
Sleep eat,1,2,Mild,Moderate,9554,4840,23190781.0,0.0030319609976869194,0.0030319609976869194,-0.008589695458784085,0.015672479139886883,"[-0.008589695458784085, 0.015672479139886883]",0.6444499487827678,0.7311323571793042
Sleep eat,2,3,Moderate,Severe,4840,3889,9342858.5,-0.007280706973897558,-0.007280706973897558,-0.024139650614468867,0.007998570613448821,"[-0.024139650614468867, 0.007998570613448821]",0.3655661785896521,0.7311323571793042
Sleep somatch pain,0,1,Normal,Mild,10462,9554,49607285.0,-0.0073971865523510885,-0.0073971865523510885,-0.01871030171814724,0.005724333420026577,"[-0.01871030171814724, 0.005724333420026577]",0.17099050233423885,0.39221127239119524
Sleep somatch pain,1,2,Mild,Moderate,9554,4840,23261080.0,0.006072485757339317,0.006072485757339317,-0.006081510686536901,0.01947701365184761,"[-0.006081510686536901, 0.01947701365184761]",0.36981011134377806,0.39221127239119524
Sleep somatch pain,2,3,Moderate,Severe,4840,3889,9526470.5,0.01222886547987649,0.01222886547987649,-4.7030828635120456e-05,0.025180511519033336,"[-4.7030828635120456e-05, 0.025180511519033336]",0.13073709079706508,0.39221127239119524
Sleep thirst,0,1,Normal,Mild,10462,9554,47723535.0,-0.045089544637096274,-0.045089544637096274,-0.05482336025386411,-0.03197298619960466,"[-0.05482336025386411, -0.03197298619960466]",8.748374401264734e-10,2.62451232037942e-09
Sleep thirst,1,2,Mild,Moderate,9554,4840,23139794.0,0.0008267057889300833,0.0008267057889300833,-0.022036050085897128,0.01927419576327339,"[-0.022036050085897128, 0.01927419576327339]",0.9290431185560325,0.9290431185560325
